CAGDP8 Chain-type quantity indexes for real GDP by county and metropolitan area (2017=100.0) 1
CAGDP8 Chain-type quantity indexes for real GDP by county and metropolitan area (2017=100.0) 1
Metropolitan Statistical Area
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",100.000,105.501,108.729,82.793,(D),118.994
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",100.000,103.389,109.431,72.883,91.323,105.150
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",100.000,94.460,98.096,77.751,96.708,106.154
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",100.000,99.120,101.880,76.410,93.039,101.411
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",100.000,98.447,103.440,73.224,104.693,116.145
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",100.000,109.668,111.936,69.584,93.401,102.857
41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",100.000,98.677,101.561,76.073,93.690,102.754
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",100.000,101.027,110.098,101.469,120.815,91.917
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",100.000,99.195,104.322,78.916,102.414,110.455
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",100.000,109.887,111.787,65.925,80.895,96.106

Legend/Footnotes
1. Industry detail is based on the 2017 North American Industry Classification System (NAICS).
"  Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020."
(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals.
"  Last updated: December 7, 2023 -- new statistics for 2022, revised statistics for 2017-2021."
